receipt_date,region,channel,brand,sum,sum_of_brand,total_amount,percent_of_brand_sales
2019-08-18,г. Москва,nonchain,marlboro,42453,6159519,18989072,0.32
2019-08-19,Ленинградская область,chain,marlboro,4868,6159519,18989072,0.32
2019-08-19,Ленинградская область,nonchain,marlboro,16043,6159519,18989072,0.32
2019-08-19,Московская область,nonchain,marlboro,28377,6159519,18989072,0.32
2019-08-19,Новосибирская область,chain,marlboro,9476,6159519,18989072,0.32
2019-08-19,Новосибирская область,nonchain,marlboro,14300,6159519,18989072,0.32
2019-08-19,Санкт-Петербург,chain,marlboro,6932,6159519,18989072,0.32
2019-08-19,Санкт-Петербург,nonchain,marlboro,52849,6159519,18989072,0.32
2019-08-19,Свердловская область,nonchain,marlboro,14037,6159519,18989072,0.32
2019-08-19,г. Москва,chain,marlboro,2150,6159519,18989072,0.32
2019-08-19,г. Москва,nonchain,marlboro,23545,6159519,18989072,0.32
2019-08-20,Ленинградская область,chain,marlboro,2715,6159519,18989072,0.32
2019-08-20,Ленинградская область,nonchain,marlboro,23769,6159519,18989072,0.32
2019-08-20,Московская область,chain,marlboro,4550,6159519,18989072,0.32
2019-08-20,Московская область,nonchain,marlboro,25175,6159519,18989072,0.32
2019-08-20,Новосибирская область,chain,marlboro,6943,6159519,18989072,0.32
2019-08-20,Новосибирская область,nonchain,marlboro,10509,6159519,18989072,0.32
2019-08-20,Санкт-Петербург,chain,marlboro,9494,6159519,18989072,0.32
2019-08-20,Санкт-Петербург,nonchain,marlboro,54765,6159519,18989072,0.32
2019-08-20,Свердловская область,chain,marlboro,2585,6159519,18989072,0.32
2019-08-20,Свердловская область,nonchain,marlboro,9481,6159519,18989072,0.32
2019-08-20,г. Москва,chain,marlboro,3413,6159519,18989072,0.32
2019-08-20,г. Москва,nonchain,marlboro,33680,6159519,18989072,0.32
2019-08-21,Ленинградская область,chain,marlboro,837,6159519,18989072,0.32
2019-08-21,Ленинградская область,nonchain,marlboro,21312,6159519,18989072,0.32
2019-08-21,Московская область,chain,marlboro,3882,6159519,18989072,0.32
2019-08-21,Московская область,nonchain,marlboro,31927,6159519,18989072,0.32
2019-08-21,Новосибирская область,chain,marlboro,7273,6159519,18989072,0.32
2019-08-21,Новосибирская область,nonchain,marlboro,13118,6159519,18989072,0.32
2019-08-21,Санкт-Петербург,chain,marlboro,6820,6159519,18989072,0.32
2019-08-21,Санкт-Петербург,nonchain,marlboro,46391,6159519,18989072,0.32
2019-08-21,Свердловская область,chain,marlboro,3514,6159519,18989072,0.32
2019-08-21,Свердловская область,nonchain,marlboro,15288,6159519,18989072,0.32
2019-08-21,г. Москва,chain,marlboro,1890,6159519,18989072,0.32
2019-08-21,г. Москва,nonchain,marlboro,21867,6159519,18989072,0.32
2019-08-22,Ленинградская область,chain,marlboro,3986,6159519,18989072,0.32
2019-08-22,Ленинградская область,nonchain,marlboro,21014,6159519,18989072,0.32
2019-08-22,Московская область,chain,marlboro,1618,6159519,18989072,0.32
2019-08-22,Московская область,nonchain,marlboro,19914,6159519,18989072,0.32
